"plantID" "fullPotID" "hostVar" "potID" "plantRep" "RNASeq" "totSpikelets" "disS.d7" "disS.d10" "disS.d14" "disS.d17" "head.mass" "Notes"
"216" "44-1" "N44-B-/-F+" "Norm" "44" "1" "NO" 20 5 10 11 14 3.18 NA
"217" "44-2" "N44-B-/-F+" "Norm" "44" "2" "NO" 20 9 11 16 20 1.76 NA
"218" "44-3" "N44-B-/-F+" "Norm" "44" "3" "NO" 20 1 5 9 12 2.35 NA
"219" "44-4" "N44-B-/-F+" "Norm" "44" "4" "YES" NA NA NA NA NA NA NA
"220" "44-5" "N44-B-/-F+" "Norm" "44" "5" "NO" 19 4 8 13 15 2.13 NA
"221" "45-1" "A45-Q22-F+" "Alsen" "45" "1" "NO" 24 0 0 1 1 4.29 NA
"222" "45-2" "A45-Q22-F+" "Alsen" "45" "2" "NO" 23 0 0 1 1 3.42 NA
"223" "45-3" "A45-Q22-F+" "Alsen" "45" "3" "YES" NA NA NA NA NA NA NA
"224" "45-4" "A45-Q22-F+" "Alsen" "45" "4" "NO" 24 0 0 1 2 4.62 NA
"225" "45-5" "A45-Q22-F+" "Alsen" "45" "5" "NO" 20 0 0 0 0 3.74 NA
"226" "46-1" "N46-Q16-F+" "Norm" "46" "1" "NO" 21 3 7 13 16 2.23 NA
"227" "46-2" "N46-Q16-F+" "Norm" "46" "2" "NO" 21 9 11 15 20 1.57 NA
"228" "46-3" "N46-Q16-F+" "Norm" "46" "3" "YES" NA NA NA NA NA NA NA
"229" "46-4" "N46-Q16-F+" "Norm" "46" "4" "NO" 20 9 11 17 20 1.29 NA
"230" "46-5" "N46-Q16-F+" "Norm" "46" "5" "NO" 21 9 13 19 21 1.26 NA
"231" "47-1" "A47-W14-F+" "Alsen" "47" "1" "NO" 21 1 5 6 12 2.27 NA
"232" "47-2" "A47-W14-F+" "Alsen" "47" "2" "NO" 21 1 2 3 4 2.99 NA
"233" "47-3" "A47-W14-F+" "Alsen" "47" "3" "YES" NA NA NA NA NA NA NA
"234" "47-4" "A47-W14-F+" "Alsen" "47" "4" "NO" 20 0 1 1 1 2.75 NA
"235" "47-5" "A47-W14-F+" "Alsen" "47" "5" "NO" 20 1 1 1 1 3.42 NA
"236" "48-1" "N48-Q22-F+" "Norm" "48" "1" "NO" 20 1 10 14 19 2.25 NA
"237" "48-2" "N48-Q22-F+" "Norm" "48" "2" "YES" NA NA NA NA NA NA NA
"238" "48-3" "N48-Q22-F+" "Norm" "48" "3" "NO" 20 5 11 15 20 1.1 NA
"239" "48-4" "N48-Q22-F+" "Norm" "48" "4" "NO" 22 9 12 16 20 2.82 NA
"240" "48-5" "N48-Q22-F+" "Norm" "48" "5" "NO" 19 7 12 16 19 1.28 NA
"241" "49-1" "A49-Y108-F+" "Alsen" "49" "1" "NO" 20 1 1 1 1 2.95 NA
"242" "49-2" "A49-Y108-F+" "Alsen" "49" "2" "NO" 19 1 1 1 2 2.91 NA
"243" "49-3" "A49-Y108-F+" "Alsen" "49" "3" "NO" 22 0 0 0 0 4.13 NA
"244" "49-4" "A49-Y108-F+" "Alsen" "49" "4" "YES" NA NA NA NA NA NA NA
"245" "49-5" "A49-Y108-F+" "Alsen" "49" "5" "NO" 19 1 1 1 1 2.79 NA
"246" "50-1" "N50-Y11-F+" "Norm" "50" "1" "NO" 22 9 11 15 18 1.66 NA
"247" "50-2" "N50-Y11-F+" "Norm" "50" "2" "YES" NA NA NA NA NA NA NA
"248" "50-3" "N50-Y11-F+" "Norm" "50" "3" "NO" 20 2 3 7 9 2.57 NA
"249" "50-4" "N50-Y11-F+" "Norm" "50" "4" "NO" 20 2 4 5 8 4.89 NA
"250" "50-5" "N50-Y11-F+" "Norm" "50" "5" "NO" 21 5 11 14 17 2.62 NA
"251" "51-1" "N51-A30-F+" "Norm" "51" "1" "NO" 19 0 1 9 12 2.4 NA
"252" "51-2" "N51-A30-F+" "Norm" "51" "2" "NO" 21 5 11 16 19 1.9 NA
"253" "51-3" "N51-A30-F+" "Norm" "51" "3" "YES" NA NA NA NA NA NA NA
"254" "51-4" "N51-A30-F+" "Norm" "51" "4" "NO" 20 9 12 16 20 2.08 NA
"255" "51-5" "N51-A30-F+" "Norm" "51" "5" "NO" 20 3 10 13 17 1.75 NA
"256" "52-1" "N52-Y108-F+" "Norm" "52" "1" "NO" 21 0 1 1 4 4.99 NA
"257" "52-2" "N52-Y108-F+" "Norm" "52" "2" "NO" 22 2 6 9 9 3.41 NA
"258" "52-3" "N52-Y108-F+" "Norm" "52" "3" "NO" 21 2 5 9 14 3.04 NA
"259" "52-4" "N52-Y108-F+" "Norm" "52" "4" "NO" 21 3 5 8 9 3.6 NA
"260" "52-5" "N52-Y108-F+" "Norm" "52" "5" "YES" NA NA NA NA NA NA NA
"261" "53-1" "A53-B-/-F-" "Alsen" "53" "1" "NO" 20 0 0 0 0 2.82 NA
